ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Bellaire|TX|77401|29.7023|-95.4611|17491|Historic buildings inspector/conservation officer|1933-04-16|914473253283|adults_50up_female_urban.json
852-18-7686|30010432898610|Ricardo|Young|M|36971 Mary Parks|Long Beach|CA|90815|33.7939|-118.1192|471952|Therapist, speech and language|1979-01-18|19482202674|adults_2550_male_urban.json
589-31-2353|4095396218518888801|Jeanette|Harrison|F|4051 Allen Shoals Apt. 952|Forest Lake|MN|55025|45.2685|-92.9749|23244|Armed forces operational officer|1979-02-11|598513567016|adults_2550_female_urban.json
659-23-7613|3522170430305486|Jennifer|Ochoa|F|0345 Michelle Isle Suite 156|Rio Rancho|NM|87144|35.324|-106.7099|89123|Office manager|2001-08-19|484228819436|young_adults_female_urban.json
396-44-3061|38584161692842|Frank|Miller|M|7962 Bell Canyon Suite 964|South Saint Paul|MN|55075|44.8881|-93.046|20152|Barista|1997-10-24|734761706971|adults_2550_male_urban.json
373-66-2622|503897021351|Jack|Herring|M|275 Wallace Club|Homewood|CA|96141|39.0786|-120.1734|744|Teacher, secondary school|1975-04-03|580411980930|adults_50up_male_rural.json
322-84-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|Wildwood|NJ|08260|38.9949|-74.838|13661|Special effects artist|1989-05-10|980499639968|adults_2550_male_urban.json
162-92-2853|341323705895781|Beverly|Henson|F|6786 Morrow Cliffs|Yonkers|NY|10703|40.9518|-73.8852|177756|Comptroller|1982-08-25|352068690122|adults_2550_female_urban.json
461-60-8477|348922680182421|Candice|Donovan|F|8414 Cynthia Plaza|Alvin|TX|77511|29.412|-95.2515|46627|Haematologist|1975-05-18|687732369667|adults_50up_female_urban.json
547-12-8235|4992299590010948|Matthew|Wang|M|078 May Hollow Suite 364|Huntington Park|CA|90255|33.9769|-118.2161|75066|Professor Emeritus|1971-09-21|756227660834|adults_50up_male_urban.json
451-54-7934|30359255562583|Kristina|Flores|F|47321 Kelly Lights Suite 325|Killeen|TX|76543|31.1172|-97.6651|164094|Technical brewer|1992-07-12|346694606719|adults_2550_female_urban.json
164-64-8434|38470168733955|Anthony|Campbell|M|8016 Nicole Stream Suite 650|Mission|TX|78574|26.3189|-98.3701|167182|Oncologist|1963-11-03|622989978517|adults_50up_male_urban.json
372-71-4729|2298784991216553|Kristin|Diaz|F|98680 Benjamin Station|San Luis Obispo|CA|93401|35.2635|-120.6509|63473|Lecturer, further education|1970-04-29|523144049876|adults_50up_female_urban.json
153-78-8447|4952694958887945|Karen|Smith|F|169 Robles Stream Apt. 974|Longmont|CO|80504|40.1306|-104.9504|117461|Technical sales engineer|1975-03-29|251589024007|adults_50up_female_urban.json
598-62-2794|180023091307565|Brittany|Vaughn|F|970 April Points Suite 786|Pawtucket|RI|02860|41.8729|-71.3907|71377|Interior and spatial designer|1988-05-24|193087493940|adults_2550_female_urban.json
546-44-8951|379733484344378|Evan|Bailey|M|1986 Cardenas Trail Apt. 404|Beaverton|OR|97008|45.456|-122.7996|183865|Careers information officer|1965-09-21|719159529356|adults_50up_male_urban.json
491-28-3311|180084219933088|Courtney|Hall|F|5712 Tamara Estate|El Paso|TX|79912|31.8383|-106.5364|749635|Optometrist|1929-07-16|965855026307|adults_50up_female_urban.json
667-26-4707|370193802620679|Cody|Curry|M|04991 Mitchell Row Suite 287|Elmhurst|NY|11373|40.7351|-73.8776|100820|Government social research officer|1990-02-17|889886348922|adults_2550_male_urban.json
167-94-7519|4205493296685169|Maureen|Lopez|F|5304 Young Terrace|Victoria|TX|77901|28.809|-96.9993|80531|Geologist, engineering|1996-11-15|364874801234|adults_2550_female_urban.json
741-74-0188|4301742684145933273|Brittany|Adkins|F|8783 Erin Ranch Apt. 878|Hempstead|NY|11550|40.7049|-73.6176|59357|Medical illustrator|1975-09-13|122682170508|adults_2550_female_urban.json
561-65-3313|3525871397187075|Carlos|Perry|M|740 Scott Alley|Sacramento|CA|95820|38.5347|-121.4451|757530|Engineering geologist|1929-07-29|79793239299|adults_50up_male_urban.json
353-90-1045|213117046226564|Joan|Stark|F|1825 Gregory Plain Suite 823|Meriden|CT|06451|41.5401|-72.8189|60912|Accountant, chartered certified|1996-02-25|24722602367|adults_2550_female_urban.json
475-87-8921|6533752431069037|Christine|Garcia|F|9030 Gonzales Plains|La Grange|KY|40031|38.4029|-85.3928|22863|Engineer, water|1974-12-13|952427834357|adults_50up_female_urban.json
144-65-4740|4995342836449|Amy|Fry|F|687 Teresa Row|Vidor|TX|77662|30.1502|-94.0008|27035|Museum/gallery curator|1992-10-16|578900622716|adults_2550_female_urban.json
427-53-2445|4287334270866882637|David|Rivera|M|5183 Joseph Spring|Martinsburg|WV|25403|39.5227|-77.9747|58793|Trade union research officer|2002-02-16|45539203444|young_adults_male_urban.json
193-98-9627|3573540331739363|Suzanne|Arnold|F|7854 Ward Parks Suite 175|Dunkirk|NY|14048|42.4877|-79.3283|15072|Engineer, electronics|1985-04-11|345189549205|adults_2550_female_urban.json
577-29-2391|578996423534|Jamie|Whitaker|F|547 Murray Street Suite 228|Minden|LA|71055|32.6323|-93.2886|20268|Records manager|1945-07-22|596525278420|adults_50up_female_urban.json
061-68-0555|5206231203875093|Mark|Peck|M|700 Smith Pines Suite 840|Phoenix|AZ|85008|33.4665|-111.9984|1312922|Retail buyer|1977-04-02|767996662339|adults_2550_male_urban.json
826-23-1754|2623398454615676|Karl|Branch|M|1016 Bennett Mountains|Ogden|UT|84404|41.2627|-111.9837|186422|Banker|1960-03-09|11324746755|adults_50up_male_urban.json
085-64-7110|4918033974014890|Mary|White|F|39261 Martin Garden Suite 856|Manassas|VA|20112|38.6665|-77.4248|137564|Counselling psychologist|2005-12-03|797529515996|young_adults_female_urban.json
764-45-0880|2331599965047738|Heather|Pugh|F|96194 Jennifer Corner Suite 262|Bremerton|WA|98312|47.5754|-122.6958|84812|Neurosurgeon|1973-12-31|396497113885|adults_50up_female_urban.json
006-40-7287|371212678886104|Ann|Spencer|F|0466 Jenny Points Apt. 982|Columbus|OH|43214|40.0535|-83.0188|783285|Museum/gallery conservator|1996-09-19|151051859836|adults_2550_female_urban.json
275-64-2391|2227464715437993|Craig|Rodriguez|M|65965 Cook Via Apt. 459|Darien|IL|60561|41.7434|-87.9805|23115|Engineer, control and instrumentation|1993-11-09|345654714857|adults_2550_male_urban.json
408-41-4776|3593564651939821|Melanie|Pierce|F|374 Lori Underpass Suite 724|Bloomington|IN|47408|39.2303|-86.4692|126925|Financial controller|1994-07-12|722639765311|adults_2550_female_urban.json
434-49-1212|38968868058912|Ashley|Wright|F|90965 Rodriguez Courts Suite 388|Petaluma|CA|94954|38.2507|-122.6155|70223|Surveyor, insurance|2003-12-06|758407551188|young_adults_female_urban.json
457-48-6409|30250714611253|Eric|Gibson|M|757 Samuel Square|Claymont|DE|19703|39.8044|-75.4649|14471|Production manager|1969-09-01|74384149802|adults_50up_male_urban.json
830-91-1886|581238282585|Jeffery|Murray|M|226 Johnson Ridges Apt. 796|Jamaica|NY|11434|40.6775|-73.7758|224445|Neurosurgeon|1962-08-28|773113226056|adults_50up_male_urban.json
286-97-1026|3582553714785969|Logan|Matthews|M|7924 Emily Island Apt. 341|Ontario|CA|91764|34.0763|-117.6254|166856|Education officer, museum|1952-06-23|761812548743|adults_50up_male_urban.json
398-54-9772|4627828274225795|Amy|Howard|F|2368 Ortiz Overpass|Spring|TX|77386|30.1288|-95.4239|316665|Pathologist|1970-08-09|926468006901|adults_50up_female_urban.json
172-11-9264|639034043849|Christopher|Ellis|M|819 Joseph Plains Suite 807|Daly City|CA|94015|37.6787|-122.478|107941|Sports coach|1953-04-26|113495175185|adults_50up_male_urban.json
670-97-4056|4745171339596292335|Robert|Hudson|M|825 Roberts Grove Apt. 260|Atlanta|GA|30318|33.7865|-84.4454|900273|Health and safety inspector|1988-10-07|720983479468|adults_2550_male_urban.json
887-17-4091|4367294667116840|Melissa|Wiley|F|5901 Reid Square Suite 186|Lemoore|CA|93245|36.2682|-119.8173|37412|Engineering geologist|1964-03-27|472309515869|adults_50up_female_urban.json
507-35-5290|4892975001701277068|Dale|Barker|M|424 Diamond Glen|Indianapolis|IN|46237|39.673|-86.0757|910148|Charity fundraiser|1979-01-12|731741497149|adults_2550_male_urban.json
170-07-6494|4361103712938700|Aimee|Cooper|F|2713 Davis Valley|Washington|DC|20015|38.9658|-77.068|601723|Civil engineer, consulting|1973-01-17|344040630909|adults_50up_female_urban.json
307-18-6271|4189092753269739|Brandon|Garcia|M|656 Moody Gateway|Fontana|CA|92336|34.1173|-117.4378|221665|Health and safety inspector|1953-05-16|92962937500|adults_50up_male_urban.json
616-77-9955|4438983640376137917|Kelsey|Levine|F|2696 Payne Extensions Suite 109|East Concord|NY|14055|42.5466|-78.611|1405|Broadcast journalist|1982-04-30|287822051149|adults_2550_female_rural.json
062-51-8301|4661889241418328564|Laurie|Hines|F|6303 Sandy Crescent|Aurora|CO|80010|39.7368|-104.8646|389246|Professor Emeritus|1965-07-02|668349725580|adults_50up_female_urban.json
683-95-2878|5120275884252414|Raymond|Johnson|M|8149 Tyler Pass Suite 079|Las Vegas|NV|89139|36.0129|-115.2118|1417793|Dietitian|1931-05-27|173377898839|adults_50up_male_urban.json
106-74-1890|4003075622084|Regina|Klein|F|53654 Ashley Crest Apt. 238|Montgomery|AL|36117|32.3736|-86.1833|214703|Armed forces training and education officer|1996-07-04|442184404040|adults_2550_female_urban.json
477-37-5091|348705349493754|Kevin|Snyder|M|832 Sarah Burg|Minneapolis|MN|55444|45.1178|-93.3054|1022298|Exhibitions officer, museum/gallery|1953-10-03|380283040969|adults_50up_male_urban.json
711-02-5489|639064138360|Katherine|Brown|F|410 Phyllis Pike|Clearfield|KY|40313|38.1287|-83.4425|3143|Passenger transport manager|1978-03-19|986557625325|adults_2550_female_urban.json
766-11-9516|2626199062344569|Mercedes|Moss|F|4313 Kimberly Prairie Apt. 212|Medford|OR|97501|42.2818|-122.9054|86561|Production assistant, television|1969-07-01|345599075156|adults_50up_female_urban.json
549-46-3402|30474112490355|Brittany|Dawson|F|8044 Anthony Lodge Suite 883|Toledo|WA|98591|46.4396|-122.8266|3952|Chief Marketing Officer|1976-05-14|113653610350|adults_2550_female_urban.json
144-16-0196|639032365194|Kevin|Lowery|M|13721 Martinez Mountain|Levittown|NY|11756|40.7254|-73.5166|42791|Arts administrator|1986-07-01|474911216420|adults_2550_male_urban.json
405-64-0484|6525324472099933|Matthew|Porter|M|14626 Dawn Union Apt. 806|Baton Rouge|LA|70806|30.4485|-91.13|378909|Mechanical engineer|1983-12-13|599060683120|adults_2550_male_urban.json
353-73-8232|374205930407856|Pamela|Key|F|33480 Barbara Union|Fredericksburg|VA|22407|38.2688|-77.5476|156008|Network engineer|2005-12-05|192608757154|young_adults_female_urban.json
607-41-5879|3559929378427016|Anthony|Guzman|M|705 Lindsay Junctions|Cardville|ME|04418|45.0776|-68.6033|1771|Editor, film/video|1949-06-28|884414429088|adults_50up_male_rural.json
332-08-0360|4185156915452261|Rebecca|Yu|F|89539 Nicholas Street Suite 220|Columbus|GA|31901|32.473|-84.9795|173903|Teacher, primary school|1981-07-12|933689818542|adults_2550_female_urban.json
582-05-2984|3593917251355212|Roberto|Santiago|M|0433 Michael Turnpike Apt. 006|Princeton|NJ|08540|40.3666|-74.6408|52304|Primary school teacher|1970-05-09|462707927107|adults_50up_male_urban.json
424-64-6205|371793271040546|Trevor|Jones|M|2181 Wheeler Ridges|Paige|TX|78659|30.1858|-97.1198|2903|Radiation protection practitioner|2001-09-16|33090595507|young_adults_male_urban.json
670-22-9951|6011015336884442|Cynthia|Williams|F|05061 Colon Road Suite 310|Spring Valley|CA|91977|32.724|-116.9976|67264|Engineer, maintenance|1933-12-31|700813387933|adults_50up_female_urban.json
084-61-1893|4774186256527047740|Darrell|Adams|M|11586 Angela Ville|Middle River|MD|21220|39.3401|-76.4153|39199|Naval architect|1963-06-10|574745673999|adults_50up_male_urban.json
549-88-7780|3574160898992179|Christopher|Joyce|M|20616 Wendy Road|Omaha|NE|68116|41.2879|-96.1495|518429|Data scientist|1989-09-04|656417496092|adults_2550_male_urban.json
745-09-1426|6585487099861626|Brittany|Matthews|F|91485 Baker Shoal|Tony|WI|54563|45.4741|-90.9869|720|Radiographer, diagnostic|1998-07-29|668176751968|adults_2550_female_rural.json
177-36-6603|4065307450544476|Scott|Cohen|M|47546 Jacob Forest|Crawfordville|FL|32327|30.2108|-84.3205|26953|Optometrist|1991-01-23|535758278399|adults_2550_male_urban.json
889-48-0921|213114862890235|Sheri|Gonzalez|F|07053 Richardson Mountain|Mansfield|TX|76063|32.5773|-97.1416|61361|Risk analyst|1993-05-14|697489556056|adults_2550_female_urban.json
698-04-3964|379727985524140|Alexander|Williams|M|33468 Michelle Trafficway|Columbus|IN|47201|39.2055|-85.9317|67468|Acupuncturist|1988-07-16|709237888521|adults_2550_male_urban.json
821-02-3667|4466574374896910852|Kristina|Wheeler|F|1715 Davidson Wall Suite 443|Fountain|CO|80817|38.6996|-104.7005|27311|Dealer|1962-06-01|839740381755|adults_50up_female_urban.json
059-77-6621|4207446660993534|Melissa|Little|F|584 Mary Wells Apt. 417|Concord|NC|28025|35.3716|-80.53|104595|Conservation officer, historic buildings|1989-02-16|286650063966|adults_2550_female_urban.json
573-98-3000|4135346554947173|Amy|Walters|F|3816 Gutierrez Ways|Lafayette|IN|47909|40.3228|-86.8881|98078|Dentist|1999-06-29|374522422066|adults_2550_female_urban.json
584-59-2347|341752500743293|Pamela|Burns|F|96666 Reyes Camp|Phelan|CA|92371|34.4449|-117.5196|16763|Social research officer, government|1985-06-08|804015362037|adults_2550_female_urban.json
015-42-8701|4033542168940|Carol|Colon|F|7898 Hamilton Spur Apt. 575|Champlain|VA|22438|38.0214|-76.9719|463|Emergency planning/management officer|1986-07-06|445869180665|adults_2550_female_rural.json
230-94-2150|4982150648900|Kirk|Williams|M|001 Wallace Crossing|Cincinnati|OH|45255|39.0584|-84.3396|795220|Sports development officer|1954-06-27|520776545528|adults_50up_male_urban.json
211-89-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Lakeland|FL|33810|28.1479|-82.0372|237282|Quarry manager|1983-11-23|259117969489|adults_2550_female_urban.json
688-12-1810|3521811437447018|Robert|Sawyer|M|5611 Alec Dam Apt. 557|Lancaster|PA|17602|40.0335|-76.2844|164596|Wellsite geologist|1982-01-26|963225054391|adults_2550_male_urban.json
382-44-2997|2296746762120217|Jason|Garza|M|96590 Timothy Oval Apt. 670|Tidewater|OR|97390|44.4055|-123.9149|555|Biomedical scientist|1965-09-10|718383157138|adults_50up_male_rural.json
722-87-8599|3558891637562895|Anthony|Schneider|M|772 Karen Islands|Nome|AK|99762|64.8393|-164.4361|4038|Financial adviser|1976-01-05|52734283343|adults_2550_male_urban.json
564-83-6204|6011177971775176|Patrick|Smith|M|0880 Latoya River Suite 883|Elkhorn|NE|68022|41.2756|-96.2431|16422|Programmer, multimedia|1959-12-04|377743898953|adults_50up_male_urban.json
056-29-7446|375711305548850|Michaela|Williams|F|2614 Jacob Walk|Southbury|CT|06488|41.4767|-73.2241|19904|Nurse, learning disability|1956-04-07|503437123514|adults_50up_female_urban.json
196-92-5537|2309177982708083|Taylor|Roberson|F|292 Dale Shoals Suite 866|Tujunga|CA|91042|34.2544|-118.2849|27585|Transport planner|2006-01-09|764143015905|young_adults_female_urban.json
281-51-5618|4226984858333945226|Jonathan|Benson|M|158 Aguilar Shores Suite 846|Pittsburg|CA|94565|38.0031|-121.9172|84641|Administrator, Civil Service|1963-06-10|118209225199|adults_50up_male_urban.json
149-07-0928|4244204380570|Brian|Parrish|M|863 Schwartz Causeway|Fort Worth|TX|76111|32.7824|-97.3003|813980|Museum/gallery curator|1983-08-23|456931067925|adults_2550_male_urban.json
702-41-9047|501843973592|Kimberly|Morrison|F|7212 Jill Crest|Honolulu|HI|96822|21.3117|-157.8298|403114|Multimedia programmer|2005-05-24|468325957955|young_adults_female_urban.json
271-17-2637|3505720259094792|Joshua|Jones|M|328 Kristie Estate Suite 886|Fresno|CA|93703|36.7684|-119.7594|570271|Chief Executive Officer|1991-02-12|242018842821|adults_2550_male_urban.json
680-43-5425|373987801573996|Dana|Williams|F|1648 Johnson Path Suite 887|Chicago|IL|60626|42.0095|-87.6689|2680484|Radiographer, therapeutic|1990-07-11|322310888655|adults_2550_female_urban.json
198-42-8420|5428801336138619|Paul|Hernandez|M|501 Brian Underpass Suite 819|Blackwood|NJ|08012|39.7901|-75.0367|38992|Estate agent|1962-11-27|287380499077|adults_50up_male_urban.json
462-81-6627|6506180919015814|Dylan|Jennings|M|7660 Moore Forges|Richburg|SC|29729|34.6822|-80.9891|2271|Copy|1997-05-24|432704013236|adults_2550_male_rural.json
870-70-4833|4450882100996881|Theresa|Torres|F|68222 Christina Glen Apt. 129|Chula Vista|CA|91911|32.6084|-117.0565|239879|Audiological scientist|1945-04-25|828290403261|adults_50up_female_urban.json
563-60-9006|2261413975523148|Lisa|Mccullough|F|7594 Ariana Lakes Suite 620|The Colony|TX|75056|33.094|-96.8836|47852|Intelligence analyst|1956-10-10|864345740668|adults_50up_female_urban.json
758-83-7146|4257775478129142835|Deborah|Mercado|F|108 Lisa Prairie|Broomfield|CO|80020|39.9245|-105.0609|92337|Ophthalmologist|1995-08-25|651843751630|adults_2550_female_urban.json
038-71-4270|180025639427888|Brandon|Cox|M|392 Sean Fall|Farmington|MI|48336|42.4656|-83.3638|87927|Systems developer|2000-06-04|622549976924|adults_2550_male_urban.json
150-95-7922|343731453038560|John|Gibson|M|51844 Nicholas Lane|Alpine|UT|84004|40.4616|-111.7689|9818|Medical secretary|1968-10-24|719783599768|adults_50up_male_urban.json
080-67-4122|6011865577908270|Carol|Jones|F|22259 Donna Mall Suite 177|Reno|NV|89512|39.5483|-119.7957|276896|Quality manager|1940-11-26|649445028286|adults_50up_female_urban.json
